,High Date,High Price,Min Price,Min Date,Drawdown %
134,1071,27.940000534057617,27.639999389648438,1074,1.0737334956149756
135,1080,28.18000030517578,28.18000030517578,1080,0.0
136,1081,28.260000228881836,28.209999084472656,1082,0.17693256901703175
137,1083,28.280000686645508,28.280000686645508,1083,0.0
138,1084,28.290000915527344,28.290000915527344,1084,0.0
139,1085,28.510000228881836,28.510000228881836,1085,0.0
140,1086,28.649999618530273,28.489999771118164,1088,0.5584636982285491
141,1089,28.719999313354492,28.559999465942383,1090,0.5571025460913265
142,1091,28.799999237060547,28.799999237060547,1091,0.0
143,1092,28.84000015258789,28.84000015258789,1092,0.0
144,1093,28.850000381469727,28.719999313354492,1094,0.4506102821361961
145,1096,28.989999771118164,28.989999771118164,1096,0.0
146,1097,29.0,28.93000030517578,1098,0.2413782580145474
147,1099,29.170000076293945,29.049999237060547,1100,0.4113844323604286
148,1101,29.190000534057617,29.190000534057617,1101,0.0
149,1102,29.190000534057617,28.149999618530273,1108,3.5628670657745145
150,1119,29.260000228881836,29.200000762939453,1120,0.20505627297691814
151,1121,29.280000686645508,29.280000686645508,1121,0.0
152,1122,29.43000030517578,29.209999084472656,1123,0.74754066742036
153,1125,29.59000015258789,29.59000015258789,1125,0.0
154,1126,29.920000076293945,29.920000076293945,1126,0.0
155,1127,29.940000534057617,29.940000534057617,1127,0.0
156,1128,29.940000534057617,29.940000534057617,1128,0.0
157,1129,30.139999389648438,30.020000457763672,1131,0.39813846819777693
158,1133,30.190000534057617,29.84000015258789,1136,1.1593255226176227
159,1138,30.270000457763672,30.270000457763672,1138,0.0
160,1139,30.309999465942383,30.309999465942383,1139,0.0
161,1140,30.34000015258789,30.34000015258789,1140,0.0
162,1141,30.520000457763672,30.520000457763672,1141,0.0
163,1142,30.579999923706055,30.579999923706055,1142,0.0
164,1143,30.690000534057617,30.690000534057617,1143,0.0
165,1144,30.8799991607666,30.8799991607666,1144,0.0
166,1145,30.989999771118164,30.1200008392334,1150,2.807353786093219
167,1155,31.049999237060547,31.049999237060547,1155,0.0
168,1156,31.1200008392334,31.09000015258789,1157,0.09640323212229979
169,1158,31.15999984741211,31.15999984741211,1158,0.0
170,1159,31.209999084472656,29.829999923706055,1166,4.421657165165273
171,1175,31.280000686645508,31.280000686645508,1175,0.0
172,1176,31.290000915527344,31.290000915527344,1176,0.0
173,1177,31.459999084472656,31.459999084472656,1177,0.0
174,1178,31.709999084472656,31.56999969482422,1179,0.4414991917076106
175,1180,31.790000915527344,31.790000915527344,1180,0.0
176,1181,32.0,32.0,1181,0.0
177,1182,32.18000030517578,32.18000030517578,1182,0.0
178,1183,32.400001525878906,32.400001525878906,1183,0.0
179,1184,32.529998779296875,32.529998779296875,1184,0.0
180,1185,32.689998626708984,32.290000915527344,1188,1.2236088344611529
181,1191,32.7599983215332,31.68000030517578,1208,3.296697410535389
182,1211,32.81999969482422,32.709999084472656,1212,0.3351633497087138
183,1213,33.02000045776367,33.02000045776367,1213,0.0
184,1214,33.150001525878906,33.150001525878906,1214,0.0
185,1215,33.18000030517578,33.18000030517578,1215,0.0
186,1216,33.470001220703125,33.470001220703125,1216,0.0
187,1217,33.540000915527344,33.470001220703125,1218,0.20870510707652482
188,1219,33.56999969482422,33.56999969482422,1219,0.0
189,1220,33.630001068115234,33.439998626708984,1221,0.5649789930764892
190,1224,34.029998779296875,34.029998779296875,1224,0.0
191,1225,34.220001220703125,34.220001220703125,1225,0.0
192,1226,34.54999923706055,33.9900016784668,1229,1.6208323327343541
193,1232,34.7599983215332,34.7599983215332,1232,0.0
194,1233,34.91999816894531,34.349998474121094,1238,1.6323016171608078
195,1240,34.93000030517578,34.93000030517578,1240,0.0
196,1241,35.91999816894531,35.06999969482422,1246,2.3663655831028443
197,1250,35.97999954223633,35.97999954223633,1250,0.0
198,1251,36.75,34.58000183105469,1261,5.90475692230017
199,1275,36.959999084472656,36.959999084472656,1275,0.0
200,1276,36.959999084472656,36.459999084472656,1277,1.352813886324083
201,1279,37.08000183105469,37.08000183105469,1279,0.0
202,1280,37.150001525878906,36.56999969482422,1289,1.5612430881076946
203,1292,37.150001525878906,37.150001525878906,1292,0.0
204,1293,37.290000915527344,37.290000915527344,1293,0.0
205,1294,37.52000045776367,34.959999084472656,1300,6.823031295462839
